course_title,professor,location,course_code,course_subject
Bio-Environmental Engineering.,Mark Gregory  Lefsrud ,RAYMND 3-048,327,BREE
Machinery Systems Engineering.,G S Vijaya   Raghavan ,RAYMND 3-038,412,BREE
Engineering for Land Development.,Zhiming   Qi ,RAYMND 3-011,416,BREE
Biological Material Properties.,Valerie   Orsat ,RAYMND 4-045,423,BREE
Engineering Design 2.,TBA,RAYMND 3-048,490,BREE
"Water: Society, Law and Policy.",Murray   Clamen ,CENTEN 1-150,503,BREE
Instrumentation and Control.,Viacheslav   Adamchuk ,RAYMND 4-046/048,504,BREE
Watershed Systems Management.,Kate Helen  Reilly | Jan   Adamowski ,RAYMND 2-045,510,BREE
GIS for Natural Resource Management.,Viacheslav   Adamchuk ,CENTEN 1-163,529,BREE
Water Quality Management.,Zhiming   Qi ,RAYMND 2-046,533,BREE
Food Safety Engineering.,Michael O   Ngadi ,BARTON 1-015,535,BREE
Advanced Properties: Food and Plant Materials.,Valerie   Orsat ,RAYMND 4-045,603,BREE
Special Problems in Bioresource Engineering 1.,Valerie   Orsat ,TBA,608,BREE
Scientific Publication.,Valerie   Orsat ,TBA,699,BREE
Special Problems in Bioresource Engineering 2.,Valerie   Orsat ,TBA,702,BREE
Bioinformatics.,Jianguo   Xia ,CENTEN 1-150,501,BTEC
Biotechnology Laboratory 1.,A Paula   Ribeiro ,BARTON 1-016,620,BTEC
Biotechnology Management.,Elias   Georges ,CENTEN 1-162,621,BTEC
Introduction to Management.,Robert   Mackalski ,BRONF 151,100,BUSA
Expressive Analysis for Management.,Lindsay   Holmgren ,BRONF 178,250,BUSA
Expressive Analysis for Management.,Lindsay   Holmgren ,BRONF 011,250,BUSA
Expressive Analysis for Management.,TBA,BRONF 011,250,BUSA
Management in Global Context.,Myung-Soo   Jo ,BRONF 410,356,BUSA
Management in Global Context.,Myung-Soo   Jo ,BRONF 002,356,BUSA
Management in Global Context.,Myung-Soo   Jo ,BRONF 045,356,BUSA
Management in Global Context.,Myung-Soo   Jo ,BRONF 002,356,BUSA
Business Law 1.,TBA,BRONF 422,364,BUSA
Business Law 1.,TBA,ENGTR 1100,364,BUSA
International Business Law.,Leslie A   Beck ,BRONF 011,391,BUSA
Topics in International Business 1.,TBA,BRONF 011,433,BUSA
Management of Small Enterprises.,TBA,ENGTR 2120,464,BUSA
Technological Entrepreneurship.,Peter   Younkin ,BRONF 045,465,BUSA
Managing in North America.,TBA,BRONF 210,481,BUSA
Case Analysis and Presentation.,Richard George   Donovan ,BRONF 210,499,BUSA
Governance of Corporation: Contemporary Issues.,Steve   Maguire ,TBA,614,BUSA
Reflective Dimension Manager Role.,TBA,TBA,642,BUSA
CEO Insights.,Karl James   Moore ,BRONF 422,660,BUSA
Creating the Small Business.,Alexander Edward  Kalil ,BRONF 340,664,BUSA
Creating the Small Business.,Alexander Edward  Kalil ,LEA 15,664,BUSA
The Practice of Management.,TBA,TBA,666,BUSA
The Venture.,TBA,TBA,668,BUSA
Managing Organizations.,TBA,TBA,670,BUSA
Managerial Exchange.,TBA,TBA,672,BUSA
Managerial Exchange.,Leslie   Breitner ,TBA,672D1,BUSA
